gld_bro_id,lon,lat,screen_depth_below_ground_m,first_date,last_date,n_readings,mean_level_m_nap,trend_mm_per_year,ground_level_m_nap,glg,ghg,n_years,gvg,swing,glg_depth_m
GLD000000067200,5.181557846,52.076258165,4.6,2020-01-01,2022-12-31,25896,0.6875657630522088,,2.4,0.5510324074074074,0.8124907407407407,3,0.6949340277777777,0.26145833333333324,1.8489675925925924
GLD000000067201,5.153915699,52.070688061,0.84,2020-01-01,2022-12-31,25431,0.7565115017105108,,1.855,0.419141835016835,1.369162037037037,3,0.7058194444444444,0.950020202020202,1.435858164983165
GLD000000067202,5.154186635,52.0634712,3.92,2020-01-01,2022-12-31,25704,0.5961109943977592,,1.52,0.4439074074074074,0.7377895622895623,3,0.5954561237373738,0.29388215488215486,1.0760925925925926
GLD000000067203,5.157536338,52.069994098,0.71,2020-01-01,2022-12-31,25968,0.6742444932224277,,1.849,0.5936712962962963,0.7589814814814814,3,0.6642777777777779,0.16531018518518503,1.2553287037037038
GLD000000067204,5.166289028,52.069624338,0.79,2020-01-01,2022-12-31,25992,0.6293401815943367,,1.941,0.5226898148148148,0.7402592592592594,3,0.62025,0.2175694444444446,1.4183101851851854
GLD000000067205,5.14428171,52.066767805,2.44,2020-01-01,2022-12-31,25843,0.48850915141430956,,1.45,0.36668981481481483,0.6174814814814815,3,0.48898263888888893,0.2507916666666667,1.0833101851851852
GLD000000067206,5.156621168,52.066451027,1.26,2020-01-01,2022-12-31,25488,0.889358482423101,,2.16,0.47517129629629634,1.3416898148148146,3,0.8662291666666667,0.8665185185185182,1.6848287037037037
GLD000000067209,5.151017114,52.058907955,4.95,2020-01-01,2022-12-31,25896,0.5256216790237874,,2.46,0.3960740740740741,0.6611666666666666,3,0.5282916666666667,0.2650925925925925,2.063925925925926
GLD000000067210,5.144380085,52.064763672,5.56,2020-01-01,2022-12-31,25944,0.4043807816836263,,2.19,0.2875787037037037,0.5256620370370371,3,0.4149305555555555,0.23808333333333337,1.9024212962962963
GLD000000067211,5.146329334,52.062961071,5.71,2020-01-01,2022-12-31,25560,0.4670288732394366,,2.29,0.32846296296296296,0.5996296296296296,3,0.4572222222222222,0.27116666666666667,1.961537037037037
GLD000000067212,5.145065333,52.06748846,4.91,2020-01-01,2022-12-31,25220,0.4723648691514671,,2.668,0.3678888888888889,0.5875509259259258,3,0.4726840277777778,0.21966203703703696,2.300111111111111
GLD000000067215,5.143745507,52.068824962,0.71,2020-01-01,2022-12-31,25992,0.4790802554632195,,1.713,0.34044907407407404,0.6333148148148148,3,0.46140625,0.29286574074074073,1.372550925925926
GLD000000067216,5.143096151,52.059529975,6.04,2020-01-01,2022-12-31,25968,0.3581756007393716,,1.7,0.26278240740740744,0.4656666666666667,3,0.36570138888888887,0.20288425925925924,1.4372175925925925
GLD000000068456,5.05532401,52.15882276,0.0,2017-06-01,2025-04-16,61509,-4.444137053114178,-113.89917053017163,-3.27,-5.34324007936508,-3.8627896825396824,7,-4.634842261904763,1.4804503968253973,2.0732400793650796
GLD000000070322,5.249137936,52.057580892,1.5,2021-07-08,2025-05-20,11090,1.6441190261496843,22.816099242963503,1.97,1.4834201388888888,1.7680625,4,1.6537118055555555,0.2846423611111113,0.4865798611111112
GLD000000070323,5.242147505,52.073013906,1.25,2021-07-07,2025-05-20,12139,2.1053703764725267,51.42616848986555,2.55,1.8621736111111111,2.197505833333333,4,2.1005729166666667,0.3353322222222219,0.6878263888888887
GLD000000070328,5.120695867,52.138504635,1.16,2020-05-13,2024-03-25,1959,-0.5360316488004084,8.807473453838053,-0.31,-0.616111111111111,-0.4451666666666667,3,-0.5308055555555556,0.17094444444444434,0.30611111111111106
GLD000000071049,5.054038435,52.021570812,2.33,2023-05-16,2024-05-30,9033,-0.2030146130853537,,1.41,-0.47413888888888894,0.0943888888888889,1,-0.13585416666666666,0.5685277777777779,1.8841388888888888
GLD000000071055,5.052855415,52.021962941,2.14,2023-05-16,2024-05-30,9032,-0.24041729406554474,,1.39,-0.4929722222222222,0.044736111111111115,1,-0.178625,0.5377083333333333,1.882972222222222
GLD000000071060,5.05151299,52.022237757,2.37,2023-05-16,2024-05-30,9032,-0.2514144154118689,,1.65,-0.5008333333333334,0.03406944444444445,1,-0.195125,0.5349027777777778,2.1508333333333334
GLD000000079396,5.14181689,52.069459117,3.85,2020-01-01,2022-12-20,8688,0.46404247237569063,,1.46,0.39458333333333334,0.5419722222222222,1,0.4418958333333333,0.14738888888888885,1.0654166666666667
GLD000000079397,5.141561722,52.060146964,4.91,2020-01-01,2022-12-30,25442,0.3508387312318214,,1.7,0.28003240740740737,0.42906944444444445,3,0.3528929924242424,0.14903703703703708,1.4199675925925925
GLD000000079482,5.153167063,52.068817066,2.15,2020-01-01,2022-12-31,23346,0.6512295896513322,,1.99,0.5683935185185185,0.7078796296296296,3,0.6373055555555555,0.1394861111111111,1.4216064814814815
GLD000000079483,5.152917108,52.069203056,1.51,2020-01-01,2022-12-31,25944,0.5662933626271971,,2.22,0.4557222222222223,0.6770324074074076,3,0.5591736111111111,0.22131018518518525,1.7642777777777778
GLD000000079484,5.151512135,52.070126025,2.0,2020-01-01,2022-12-31,23327,0.5750937111501693,,1.79,0.46411111111111114,0.6902499999999999,3,0.5726041666666667,0.22613888888888878,1.325888888888889
GLD000000079485,5.152290742,52.071835305,1.62,2020-01-01,2022-12-31,25895,0.5738404711334234,,1.54,0.34758796296296296,0.8036250000000001,3,0.6074826388888889,0.4560370370370372,1.192412037037037
GLD000000079546,5.151733884,52.069560222,3.12,2020-01-01,2022-12-31,23053,0.5764529562312931,,2.42,0.4691435185185185,0.6881296296296296,3,0.5717465277777777,0.21898611111111116,1.9508564814814815
GLD000000079547,5.145628242,52.071141905,4.74,2020-01-01,2022-12-31,25896,0.5434159715786222,,1.557,0.473625,0.6125092592592591,3,0.5385763888888889,0.13888425925925912,1.083375
GLD000000079566,5.152070507,52.069336192,3.04,2020-01-01,2022-12-19,8184,0.5513594819159335,,2.34,0.4261111111111111,0.6592638888888889,1,0.5160833333333334,0.23315277777777776,1.9138888888888888
GLD000000079567,5.150504415,52.070384661,1.1,2020-01-01,2022-12-19,8712,0.6180244490358126,,1.96,0.27949999999999997,0.899375,1,0.5699166666666666,0.6198750000000001,1.6804999999999999
GLD000000079568,5.153665223,52.071172919,1.14,2020-01-01,2022-12-31,23322,0.5987998027613411,,2.4,0.4314259259259259,0.759888888888889,3,0.6050625,0.32846296296296307,1.968574074074074
GLD000000081179,4.959817009,52.087554559,2.13,2022-11-30,2024-11-14,16994,-1.4140593738966696,,-0.983,-1.469277777777778,-1.2989722222222222,1,-1.38884375,0.1703055555555557,0.4862777777777779
GLD000000081180,4.960827496,52.087162738,2.09,2022-11-30,2024-11-14,16994,-1.4337582676238674,,-0.81,-1.4758333333333333,-1.3640694444444446,1,-1.4120208333333333,0.11176388888888877,0.6658333333333333
GLD000000081189,4.960896165,52.087612394,2.14,2022-11-30,2024-11-14,16994,-1.3228805460750852,,-0.962,-1.4168194444444444,-1.185638888888889,1,-1.27675,0.2311805555555555,0.45481944444444444
GLD000000081207,4.960851795,52.08767515,1.98,2022-11-30,2024-11-14,13755,-1.745484405670665,,-1.002,-1.9662916666666668,-1.5061944444444444,1,-1.6738125000000001,0.4600972222222224,0.9642916666666668
GLD000000081849,4.932147538,52.158394227,0.99,2018-03-21,2020-10-15,22274,-2.317904731974499,,-1.94,-2.5611805555555556,-1.9443055555555557,2,-2.238072916666667,0.6168749999999998,0.6211805555555556
GLD000000081850,4.933827863,52.15554249,1.54,2018-03-21,2020-10-31,15655,-2.3174072181411685,,-1.75,-2.4783333333333335,-2.0504166666666666,1,-2.175104166666667,0.42791666666666694,0.7283333333333335
GLD000000109050,5.026693083,52.137383186,2.14,2016-08-01,2020-12-26,19767,-1.0947710831183286,-28.874410896452925,-0.503,-1.1969444444444444,-0.9765277777777778,1,-1.12375,0.2204166666666666,0.6939444444444444
GLD000000109087,5.030678604,52.126663533,1.14,2017-01-01,2020-07-03,16371,-0.9971816016126078,34.71596071231959,-0.459,-1.1965277777777776,-0.7625000000000001,1,-1.0321875,0.43402777777777757,0.7375277777777776
