gld_bro_id,kind,lon,lat,screen_depth_below_ground_m,first_date,last_date,n_observations,file
GLD000000013794,preliminary,5.0576034,52.0825896,4.92,2021-05-10,2026-06-01,54,GLD000000013794_preliminary.csv
GLD000000013795,preliminary,5.01077765,52.08460934,4.92,2021-04-30,2026-06-01,66,GLD000000013795_preliminary.csv
GLD000000013796,preliminary,5.03513399,52.05971554,5.58,2021-05-11,2026-06-01,55,GLD000000013796_preliminary.csv
GLD000000013797,preliminary,5.13358083,52.06356351,2.96,2021-04-21,2026-06-01,58,GLD000000013797_preliminary.csv
GLD000000013798,preliminary,5.08133176,52.09861803,1.13,2021-04-13,2026-06-01,62,GLD000000013798_preliminary.csv
GLD000000013799,preliminary,5.09618923,52.10195518,4.88,2021-04-29,2026-05-22,59,GLD000000013799_preliminary.csv
GLD000000013800,preliminary,5.13049406,52.08816613,4.69,2021-05-19,2026-03-10,62,GLD000000013800_preliminary.csv
GLD000000013801,preliminary,5.0562837,52.07500984,1.35,2021-04-22,2026-06-01,66,GLD000000013801_preliminary.csv
GLD000000013802,preliminary,5.09585934,52.1196255,1.54,2021-04-14,2026-06-01,66,GLD000000013802_preliminary.csv
GLD000000013803,preliminary,5.02738277,52.09524016,4.74,2021-05-10,2026-06-01,59,GLD000000013803_preliminary.csv
GLD000000013804,preliminary,5.00974225,52.07590552,3.45,2021-04-30,2026-05-13,51,GLD000000013804_preliminary.csv
GLD000000013805,preliminary,5.03637502,52.07675615,0.59,2021-04-12,2026-05-31,66,GLD000000013805_preliminary.csv
GLD000000013806,preliminary,5.12845868,52.09689431,0.75,2021-05-19,2021-10-05,4,GLD000000013806_preliminary.csv
GLD000000013807,preliminary,5.0639876,52.0480417,6.09,2021-05-11,2026-03-12,64,GLD000000013807_preliminary.csv
GLD000000013808,preliminary,5.04495901,52.10347076,1.26,2021-04-09,2026-01-26,63,GLD000000013808_preliminary.csv
GLD000000013809,preliminary,5.11666131,52.08483562,1.7,2021-04-15,2026-06-01,66,GLD000000013809_preliminary.csv
GLD000000013810,preliminary,5.02689377,52.07619312,0.6,2021-04-12,2026-06-01,61,GLD000000013810_preliminary.csv
GLD000000013811,preliminary,5.11995792,52.0589709,1.07,2021-04-19,2026-06-01,67,GLD000000013811_preliminary.csv
GLD000000013812,preliminary,5.08641929,52.11063027,0.75,2021-05-10,2026-06-01,58,GLD000000013812_preliminary.csv
GLD000000013813,preliminary,5.11942739,52.06737913,4.88,2021-10-05,2026-06-01,63,GLD000000013813_preliminary.csv
GLD000000013814,preliminary,4.99794115,52.09271991,3.19,2021-04-23,2026-06-01,66,GLD000000013814_preliminary.csv
GLD000000013815,preliminary,5.11942739,52.06737913,1.12,2021-04-21,2026-06-01,64,GLD000000013815_preliminary.csv
GLD000000013816,preliminary,5.12047294,52.112205,4.56,2021-04-29,2026-06-01,66,GLD000000013816_preliminary.csv
GLD000000013817,preliminary,5.12516855,52.07070861,1.06,2021-04-21,2026-06-01,66,GLD000000013817_preliminary.csv
GLD000000013818,preliminary,5.00940513,52.10527236,0.62,2021-04-12,2026-05-22,67,GLD000000013818_preliminary.csv
GLD000000013819,preliminary,5.0936005,52.12350095,1.7,2021-04-14,2023-07-06,26,GLD000000013819_preliminary.csv
GLD000000013820,preliminary,5.03241468,52.08910825,1.65,2021-04-13,2026-06-01,57,GLD000000013820_preliminary.csv
GLD000000013821,preliminary,5.04222079,52.0899725,5.06,2021-04-23,2026-06-01,66,GLD000000013821_preliminary.csv
GLD000000013822,preliminary,5.14839087,52.07287907,3.41,2021-04-19,2026-06-01,65,GLD000000013822_preliminary.csv
GLD000000013823,preliminary,5.13782021,52.05907853,3.78,2021-04-20,2026-06-01,60,GLD000000013823_preliminary.csv
GLD000000013824,preliminary,5.08223068,52.06979838,1.15,2021-04-16,2026-06-01,66,GLD000000013824_preliminary.csv
GLD000000013825,preliminary,5.12002595,52.1036441,1.35,2021-04-14,2026-05-30,66,GLD000000013825_preliminary.csv
GLD000000013826,preliminary,5.0562837,52.07500984,4.43,2021-04-22,2026-06-01,66,GLD000000013826_preliminary.csv
GLD000000013827,preliminary,5.14474089,52.08619011,5.08,2021-04-19,2026-06-01,61,GLD000000013827_preliminary.csv
GLD000000013828,preliminary,5.11125388,52.08263103,5.04,2021-04-21,2026-06-01,66,GLD000000013828_preliminary.csv
GLD000000013829,preliminary,5.08390457,52.11636813,3.66,2021-04-26,2026-06-01,61,GLD000000013829_preliminary.csv
GLD000000013830,preliminary,5.08061698,52.1174738,0.61,2021-05-19,2026-06-01,64,GLD000000013830_preliminary.csv
GLD000000013831,preliminary,5.12927575,52.0970257,1.09,2021-10-05,2026-06-01,64,GLD000000013831_preliminary.csv
GLD000000013832,preliminary,5.098816,52.06466231,1.15,2021-04-16,2026-06-01,62,GLD000000013832_preliminary.csv
GLD000000013833,preliminary,5.00677391,52.08158337,0.71,2021-04-12,2026-06-01,66,GLD000000013833_preliminary.csv
GLD000000013834,preliminary,5.02849289,52.07664802,1.05,2021-04-12,2026-06-01,66,GLD000000013834_preliminary.csv
GLD000000013835,preliminary,5.03776956,52.10225768,1.31,2021-04-09,2025-10-24,58,GLD000000013835_preliminary.csv
GLD000000013836,preliminary,5.09572708,52.08964019,0.52,2021-05-19,2023-06-21,21,GLD000000013836_preliminary.csv
GLD000000013837,preliminary,5.15145772,52.09430374,4.05,2021-04-26,2024-11-29,45,GLD000000013837_preliminary.csv
GLD000000013838,preliminary,5.14182389,52.06552236,5.52,2021-04-20,2026-06-01,64,GLD000000013838_preliminary.csv
GLD000000013839,preliminary,5.00983411,52.09753246,1.25,2021-04-09,2026-06-01,61,GLD000000013839_preliminary.csv
GLD000000013840,preliminary,5.12958855,52.09161431,1.68,2021-04-14,2026-06-01,67,GLD000000013840_preliminary.csv
GLD000000013841,preliminary,5.11317327,52.09353443,1.6,2021-04-15,2026-06-01,52,GLD000000013841_preliminary.csv
GLD000000013842,preliminary,5.1381603,52.06829487,0.64,2021-05-19,2026-06-01,59,GLD000000013842_preliminary.csv
GLD000000013843,preliminary,5.06298963,52.09326709,5.36,2021-04-23,2026-06-01,66,GLD000000013843_preliminary.csv
GLD000000013844,preliminary,5.04020665,52.08347858,0.63,2021-04-13,2026-06-01,56,GLD000000013844_preliminary.csv
GLD000000013845,preliminary,5.00898391,52.10869174,0.14,2021-04-30,2023-07-04,25,GLD000000013845_preliminary.csv
GLD000000013846,preliminary,5.02351842,52.11105636,7.83,2021-01-07,2026-06-01,65,GLD000000013846_preliminary.csv
GLD000000013847,preliminary,5.09139602,52.07857427,5.21,2021-04-21,2026-06-01,66,GLD000000013847_preliminary.csv
GLD000000013848,preliminary,5.03480447,52.11052669,1.24,2021-04-09,2024-04-10,36,GLD000000013848_preliminary.csv
GLD000000013849,preliminary,5.00050937,52.10116819,6.47,2021-04-30,2026-06-01,67,GLD000000013849_preliminary.csv
GLD000000013850,preliminary,5.06779441,52.07555208,6.96,2021-04-29,2026-03-09,48,GLD000000013850_preliminary.csv
GLD000000013851,preliminary,5.08390457,52.11636813,0.84,2021-04-26,2026-06-01,62,GLD000000013851_preliminary.csv
GLD000000013852,preliminary,5.09034563,52.10833516,1.22,2021-04-15,2026-06-01,67,GLD000000013852_preliminary.csv
GLD000000013853,preliminary,5.02075915,52.12159804,4.27,2021-04-26,2025-09-16,53,GLD000000013853_preliminary.csv
GLD000000013854,preliminary,5.09615812,52.07026527,1.22,2021-04-16,2026-06-01,66,GLD000000013854_preliminary.csv
GLD000000013855,preliminary,5.11415215,52.07602002,1.63,2021-05-19,2026-06-01,59,GLD000000013855_preliminary.csv
GLD000000013856,preliminary,5.14005877,52.09232361,1.13,2021-04-19,2026-06-01,59,GLD000000013856_preliminary.csv
GLD000000013857,preliminary,5.0599982,52.09704315,1.13,2021-04-13,2026-06-01,66,GLD000000013857_preliminary.csv
GLD000000013858,preliminary,5.15559312,52.07911315,4.66,2021-04-19,2026-01-16,61,GLD000000013858_preliminary.csv
GLD000000013859,preliminary,5.11891648,52.10396839,4.63,2021-04-28,2026-06-01,64,GLD000000013859_preliminary.csv
GLD000000013860,preliminary,5.10141436,52.09509206,6.84,2021-04-29,2026-06-01,66,GLD000000013860_preliminary.csv
GLD000000013861,preliminary,5.10791819,52.11922927,1.51,2021-04-14,2026-06-01,65,GLD000000013861_preliminary.csv
GLD000000013862,preliminary,5.11020394,52.10639618,1.23,2021-04-15,2026-06-01,66,GLD000000013862_preliminary.csv
GLD000000013863,preliminary,5.11734667,52.11863215,1.65,2021-04-14,2026-06-01,66,GLD000000013863_preliminary.csv
GLD000000013864,preliminary,5.03246204,52.0872755,1.18,2021-04-13,2026-06-01,66,GLD000000013864_preliminary.csv
GLD000000013865,preliminary,5.06075028,52.08414808,0.85,2021-04-13,2026-06-01,59,GLD000000013865_preliminary.csv
GLD000000013866,preliminary,5.02764432,52.08629779,7.06,2021-04-23,2026-06-01,67,GLD000000013866_preliminary.csv
GLD000000013867,preliminary,5.13861291,52.11591171,4.57,2021-04-26,2026-06-01,65,GLD000000013867_preliminary.csv
GLD000000013868,preliminary,5.04805199,52.09829414,1.56,2021-04-13,2025-09-28,56,GLD000000013868_preliminary.csv
GLD000000013869,preliminary,5.11839909,52.10761532,1.59,2021-04-14,2026-05-31,62,GLD000000013869_preliminary.csv
GLD000000013870,preliminary,5.12927575,52.0970257,4.95,2021-04-29,2026-06-01,67,GLD000000013870_preliminary.csv
GLD000000013871,preliminary,5.00736021,52.0852882,0.62,2021-04-12,2026-06-01,57,GLD000000013871_preliminary.csv
GLD000000013872,preliminary,5.04763314,52.0458925,6.66,2021-05-11,2026-06-01,59,GLD000000013872_preliminary.csv
GLD000000013873,preliminary,5.066344323,52.095255971,4.1,2022-03-28,2025-02-07,35,GLD000000013873_preliminary.csv
GLD000000013874,preliminary,5.10325408,52.0740037,1.11,2021-04-16,2026-06-01,60,GLD000000013874_preliminary.csv
GLD000000013875,preliminary,5.05028239,52.1036738,0.52,2021-04-09,2026-02-03,63,GLD000000013875_preliminary.csv
GLD000000013876,preliminary,5.13782021,52.05907853,0.84,2021-04-20,2026-06-01,67,GLD000000013876_preliminary.csv
GLD000000013877,preliminary,4.99794115,52.09271991,0.27,2021-04-23,2026-06-01,64,GLD000000013877_preliminary.csv
GLD000000013878,preliminary,5.03495852,52.08149276,0.61,2021-04-12,2024-02-25,32,GLD000000013878_preliminary.csv
GLD000000013879,preliminary,5.12188254,52.06823935,1.64,2021-04-16,2026-06-01,58,GLD000000013879_preliminary.csv
GLD000000013880,preliminary,5.14682544,52.10881194,4.94,2021-04-26,2026-06-01,66,GLD000000013880_preliminary.csv
GLD000000013881,preliminary,5.16589412,52.08754572,4.67,2021-04-26,2026-06-01,66,GLD000000013881_preliminary.csv
GLD000000013882,preliminary,5.04723331,52.06975482,3.64,2021-04-30,2026-06-01,60,GLD000000013882_preliminary.csv
GLD000000013883,preliminary,5.04408578,52.10560065,0.67,2021-04-09,2026-06-01,60,GLD000000013883_preliminary.csv
GLD000000013884,preliminary,5.00429182,52.10130053,1.26,2021-04-09,2026-06-01,66,GLD000000013884_preliminary.csv
GLD000000013885,preliminary,5.1298215,52.07825983,4.33,2021-04-19,2026-06-01,64,GLD000000013885_preliminary.csv
GLD000000013886,preliminary,5.14262081,52.06379831,0.35,2021-04-20,2026-06-01,65,GLD000000013886_preliminary.csv
GLD000000013887,preliminary,5.08633122,52.12893966,4.89,2021-10-07,2026-06-01,58,GLD000000013887_preliminary.csv
GLD000000013888,preliminary,5.03887487,52.0751379,0.53,2021-04-12,2026-06-01,66,GLD000000013888_preliminary.csv
GLD000000013889,preliminary,5.09693131,52.09105447,3.79,2021-04-29,2026-06-01,66,GLD000000013889_preliminary.csv
GLD000000013890,preliminary,5.02485687,52.10981774,0.92,2021-04-12,2026-06-01,68,GLD000000013890_preliminary.csv
